"","zona","año","sexo","casos 20-44","casos 45-64","casos +65"
"1","Pacifico norte","2023","hombre","272","735","464"
"2","Pacifico norte","2023","mujer","279","541","419"
"3","Frontera","2023","hombre","370","906","400"
"4","Frontera","2023","mujer","401","730","492"
"5","Pacifico centro","2023","hombre","215","489","311"
"6","Pacifico centro","2023","mujer","160","363","321"
"7","Centro norte","2023","hombre","625","1600","982"
"8","Centro norte","2023","mujer","829","1628","800"
"9","Centro","2023","hombre","374","1235","648"
"10","Centro","2023","mujer","434","1173","869"
"11","CDMX-Edo de Mexico","2023","hombre","791","1800","723"
"12","CDMX-Edo de Mexico","2023","mujer","655","1325","717"
"13","Pacífico sur","2023","hombre","474","1322","738"
"14","Pacífico sur","2023","mujer","516","1350","919"
"15","Peninsula","2023","hombre","658","1676","841"
"16","Peninsula","2023","mujer","685","1810","1187"
